Date,Open,High,Low,Close,Adj Close,Volume,,
"February 02, 2021",15.23,15.23,15.23,15.23,15.02565,800,,
"February 03, 2021",15.23,15.23,15.23,15.23,15.02565,0,,
"February 04, 2021",15.58,17.309999,15.53,17.309999,17.077742,700,,
"February 05, 2021",17.309999,17.309999,17.309999,17.309999,17.077742,0,,
"February 08, 2021",17.309999,17.309999,17.309999,17.309999,17.077742,0,,
"February 09, 2021",17.309999,17.309999,17.309999,17.309999,17.077742,0,,
"February 10, 2021",17.309999,17.309999,17.309999,17.309999,17.077742,0,,
"February 11, 2021",16.247,16.247,16.247,16.247,16.029005,200,,
"February 12, 2021",16.5,16.5,14.72,14.72,14.522494,400,,
"February 16, 2021",15.153,15.153,15.15,15.15,14.946724,800,,
"February 17, 2021",15.25,15.25,15.25,15.25,15.045382,200,,
"February 18, 2021",16.889,16.889,16.889,16.889,16.662392,400,,
"February 19, 2021",16.889,16.889,16.889,16.889,16.662392,0,,
"February 22, 2021",15.095,15.095,15.095,15.095,14.892463,200,,
"February 23, 2021",14.713,14.713,14.71,14.71,14.512628,1000,,
"February 24, 2021",16.030001,16.030001,16.030001,16.030001,15.814918,200,,
"February 25, 2021",16.030001,16.030001,16.030001,16.030001,15.814918,0,,
"February 26, 2021",14.04,15.759,14.04,15.759,15.547553,400,,
"March 01, 2021",16.198999,16.198999,16.198999,16.198999,15.981648,100,,
"March 02, 2021",16.198999,16.198999,16.198999,16.198999,15.981648,0,,
"March 03, 2021",16.198999,16.198999,16.198999,16.198999,15.981648,0,,
"March 04, 2021",15.96,15.96,14.77,14.77,14.571823,300,,
"March 05, 2021",14.75,14.75,14.75,14.75,14.552092,100,,
"March 08, 2021",14.5,14.5,13.89,13.89,13.70363,300,,
"March 09, 2021",13.96,13.96,13.96,13.96,13.772691,500,,
"March 10, 2021",13.96,13.96,13.96,13.96,13.772691,0,,
"March 11, 2021",15.5,15.5,15.498,15.498,15.290055,500,,
"March 12, 2021",13.81,14.01,13.81,13.81,13.624704,3900,,
"March 15, 2021",13.81,13.81,13.81,13.81,13.624704,0,,
"March 16, 2021",13.2,13.4,13.2,13.2,13.022888,3000,,
"March 17, 2021",13.2,13.2,13.2,13.2,13.022888,100,,
"March 18, 2021",13.85,13.85,13.85,13.85,13.664167,100,,
"March 19, 2021",13.45,13.45,13.45,13.45,13.269534,300,,
"March 22, 2021",13.63,13.63,13.63,13.63,13.447119,200,,
"March 23, 2021",13.63,13.63,13.63,13.63,13.447119,0,,
"March 24, 2021",13.153,13.153,13.15,13.15,12.973559,200,,
"March 25, 2021",13.15,13.15,13.15,13.15,12.973559,0,,
"March 26, 2021",13.15,13.15,13.15,13.15,12.973559,100,,
"March 29, 2021",14.998,14.998,14.998,14.998,14.796763,400,,
"March 30, 2021",15,15,15,15,14.798737,100,,
"March 31, 2021",15,15,15,15,14.798737,0,,
"April 01, 2021",15,15,15,15,14.798737,100,,
"April 05, 2021",14.75,14.75,14.75,14.75,14.552092,100,,
"April 06, 2021",14.75,14.75,14.75,14.75,14.552092,0,,
"April 07, 2021",15,15,15,15,14.798737,100,,
"April 08, 2021",15,15,15,15,14.798737,0,,
"April 09, 2021",14.19,14.39,14.19,14.39,14.196922,300,,
"April 12, 2021",14.39,14.39,14.39,14.39,14.196922,0,,
"April 13, 2021",14.39,14.39,14.39,14.39,14.196922,0,,
"April 14, 2021",14.39,14.39,14.39,14.39,14.196922,0,,
"April 15, 2021",14.39,14.39,14.39,14.39,14.196922,0,,
"April 16, 2021",14.618,14.618,13.06,13.06,12.884768,1900,,
"April 19, 2021",13.06,13.06,13.06,13.06,12.884768,0,,
"April 20, 2021",13.06,13.06,13.06,13.06,12.884768,0,,
"April 21, 2021",13.06,13.06,13.06,13.06,12.884768,0,,
"April 22, 2021",13.628,13.628,13.628,13.628,13.445146,200,,
"April 23, 2021",13.498,13.5,12.44,13.5,13.318863,800,,
"April 26, 2021",12.47,12.471,12.47,12.471,12.30367,400,,
"April 27, 2021",12.471,12.471,12.471,12.471,12.30367,0,,
"April 28, 2021",13.25,13.25,13.25,13.25,13.072218,5300,,
"April 29, 2021",13.25,13.25,13.25,13.25,13.072218,0,,
"April 30, 2021",13.44,13.44,13.438,13.438,13.257695,200,,
"May 03, 2021",13.438,13.438,13.438,13.438,13.257695,0,,
"May 04, 2021",13.438,13.438,13.438,13.438,13.257695,0,,
"May 05, 2021",11.99,12.819,11.99,12.819,12.647,600,,
"May 06, 2021",12.243,12.243,12.24,12.24,12.075769,300,,
"May 07, 2021",12.24,12.24,12.24,12.24,12.075769,0,,
"May 10, 2021",12.97,12.97,12.97,12.97,12.795975,6600,,
"May 11, 2021",12.79,12.79,12.79,12.79,12.618389,2700,,
"May 12, 2021",12.79,12.79,12.79,12.79,12.618389,0,,
"May 13, 2021",11.15,11.93,11.15,11.93,11.769929,300,,
"May 14, 2021",11.93,11.93,11.93,11.93,11.769929,0,,
"May 17, 2021",11.93,11.93,11.93,11.93,11.769929,0,,
"May 18, 2021",11.25,11.25,11.17,11.17,11.020126,300,,
"May 19, 2021",11.17,11.17,11.17,11.17,11.020126,0,,
"May 20, 2021",11.17,11.17,11.17,11.17,11.020126,100,,
"May 21, 2021",11.17,11.17,11.17,11.17,11.020126,0,,
"May 24, 2021",10.98,10.98,10.78,10.78,10.635359,300,,
